{'timestamp': '2025-12-01T02:57:19.497549', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '20.250.119.64', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:57:27.573655', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 370/min', 'details': {'connections_per_minute': 370, 'threshold': 50}}
{'timestamp': '2025-12-01T02:57:28.695172', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '13.107.213.58', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:58:00.250762', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.113.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:58:25.036536', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:58:27.576350', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 344/min', 'details': {'connections_per_minute': 344, 'threshold': 50}}
{'timestamp': '2025-12-01T02:58:43.565599', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.22', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:59:22.937868', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '23.223.245.198', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:59:23.299531', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '203.171.247.17', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:59:27.913194', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 290/min', 'details': {'connections_per_minute': 290, 'threshold': 50}}
{'timestamp': '2025-12-01T02:59:28.052845', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 1697/min', 'details': {'connections_per_minute': 1697, 'threshold': 50}}
{'timestamp': '2025-12-01T02:59:28.276190', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '8.8.4.4', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T02:59:28.923457', 'alert_type': 'DATA_EXFILTRATION', 'threat_level': 'critical', 'source_ip': '203.171.247.17', 'destination_ip': '192.168.0.106', 'description': 'Large data transfer: 10.00 MB', 'details': {'bytes_transferred': 10000510, 'threshold_mb': 10.0}}
{'timestamp': '2025-12-01T03:00:21.359727', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.22', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:00:28.752904', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.112.21', 'destination_ip': None, 'description': 'High connection rate: 412/min', 'details': {'connections_per_minute': 412, 'threshold': 50}}
{'timestamp': '2025-12-01T03:00:28.755724', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '192.168.0.106', 'destination_ip': None, 'description': 'High connection rate: 1903/min', 'details': {'connections_per_minute': 1903, 'threshold': 50}}
{'timestamp': '2025-12-01T03:00:38.285198', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '140.82.114.21', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
{'timestamp': '2025-12-01T03:01:18.080551', 'alert_type': 'PORT_SCAN', 'threat_level': 'high', 'source_ip': '8.8.8.8', 'destination_ip': '192.168.0.106', 'description': 'Possible port scan detected: 20 unique ports', 'details': {'ports_scanned': 20, 'sample_ports': [29071, 53783, 4252, 21660, 65059, 64549, 5801, 25003, 1070, 19633]}}
{'timestamp': '2025-12-01T03:01:18.908584', 'alert_type': 'CONNECTION_FLOOD', 'threat_level': 'high', 'source_ip': '52.168.117.170', 'destination_ip': None, 'description': 'High connection rate: 50/min', 'details': {'connections_per_minute': 50, 'threshold': 50}}
